antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Koľko hodín v priemere spíte cez pracovný deň?=9,"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9 & Fajčíte? (1-každý deň, 2-niekedy, 0-nie)=0",0.2222222222222222,0.19658119658119658,0.19658119658119658,0.8846153846153847,4.500000000000001,1.0,0.15289648622981955,6.962962962962968,1.0,0.8846153846153848,0.8563829787234044,0.9423076923076923
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9","Fajčíte? (1-každý deň, 2-niekedy, 0-nie)=0 & Koľko hodín v priemere spíte cez pracovný deň?=9",0.2222222222222222,0.19658119658119658,0.19658119658119658,0.8846153846153847,4.500000000000001,1.0,0.15289648622981955,6.962962962962968,1.0,0.8846153846153848,0.8563829787234044,0.9423076923076923
Koľko hodín v priemere spíte cez pracovný deň?=9,"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,1.0,0.1728395061728395,inf,1.0,1.0,1.0,1.0
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",Koľko hodín v priemere spíte cez pracovný deň?=9,0.2222222222222222,0.2222222222222222,0.2222222222222222,1.0,4.5,1.0,0.1728395061728395,inf,1.0,1.0,1.0,1.0
"Je dôležitá fyzická aktivita pre zdravie? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)=1 & Koľko hodín v priemere spíte cez pracovný deň?=9","Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",0.21367521367521367,0.2222222222222222,0.21367521367521367,1.0,4.5,1.0,0.16619183285849953,inf,0.9891304347826088,0.9615384615384615,1.0,0.9807692307692308
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9 & Je dôležitá fyzická aktivita pre zdravie? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)=1",Koľko hodín v priemere spíte cez pracovný deň?=9,0.21367521367521367,0.2222222222222222,0.21367521367521367,1.0,4.5,1.0,0.16619183285849953,inf,0.9891304347826088,0.9615384615384615,1.0,0.9807692307692308
Koľko hodín v priemere spíte cez pracovný deň?=9 & Koľkokrát do týždňa využívate verejný bicykel na cestu do školy?=0,"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",0.20512820512820512,0.2222222222222222,0.20512820512820512,1.0,4.5,1.0,0.15954415954415954,inf,0.9784946236559139,0.9230769230769231,1.0,0.9615384615384616
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9 & Koľkokrát do týždňa využívate verejný bicykel na cestu do školy?=0",Koľko hodín v priemere spíte cez pracovný deň?=9,0.20512820512820512,0.2222222222222222,0.20512820512820512,1.0,4.5,1.0,0.15954415954415954,inf,0.9784946236559139,0.9230769230769231,1.0,0.9615384615384616
Koľko hodín v priemere spíte cez pracovný deň?=9 & Koľkokrát do týždňa využívate vlastný bicykel na cestu do školy?=0,"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",0.20512820512820512,0.2222222222222222,0.20512820512820512,1.0,4.5,1.0,0.15954415954415954,inf,0.9784946236559139,0.9230769230769231,1.0,0.9615384615384616
"Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9 & Koľkokrát do týždňa využívate vlastný bicykel na cestu do školy?=0",Koľko hodín v priemere spíte cez pracovný deň?=9,0.20512820512820512,0.2222222222222222,0.20512820512820512,1.0,4.5,1.0,0.15954415954415954,inf,0.9784946236559139,0.9230769230769231,1.0,0.9615384615384616
"Fajčíte? (1-každý deň, 2-niekedy, 0-nie)=0 & Koľko hodín v priemere spíte cez pracovný deň?=9","Ako sa dnes cítite po zdravotnej stránke od 1 po 10? (1 - zle, 10 - dobre)=9",0.19658119658119658,0.2222222222222222,0.19658119658119658,1.0,4.5,1.0,0.15289648622981955,inf,0.9680851063829787,0.8846153846153848,1.0,0.9423076923076923
