,0
"Som motivovaný vykonávať fyzickú aktivitu? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)",-0.3553520845703561
Koľko hodín týždenne robíte fyzickú aktivitu,0.2545018507332806
Koľko minút ste počas minulého týždňa venovali fyzickej aktivite?,0.1682901966587409
Koľko km je od Vášho domu ku fakulte?,-0.1678917309913016
Koľkokrát do týždňa využívate verejnú dopravu na cestu do školy?,-0.13425553167579568
"Ako často konzumujete alkohol? (0-nikdy, 1-raz za týždeň, 2-raz za mesiac, 3-výnimočne)",0.10727285167969908
Koľko hodín v priemere spíte cez víkendový deň?,-0.1004819324297459
Vek,0.09292515621835531
"Najvyššie dosiahnuté vzdelanie matky (1 - základné, 2 - stredoškolské a 3 - vysokoškolské)",0.08939699793424193
Koľko hodín týždenne robíte neplatenú prácu popri štúdiu,0.08459863144518005
Koľko minút ste strávili sedením za posledných 7 dní?,0.07901026688046692
Koľkokrát do týždňa využívate chôdzu na cestu do školy?,0.07000534319964222
"Fajčili ste v minulosti? (1-každý deň, 2-niekedy, 0-nie)",-0.06664608938879607
"Je dôležitá fyzická aktivita pre zdravie? (1- úplne súhlasím, 2-súhlasím, 3-neutrálny postoj, 4-nesúhlasím, 5- úplne nesúhlasím)",-0.06653640638373699
"Pracujete popri štúdiu? (1 - áno, 0 - nie)",-0.06492055690307835
"Fajčíte? (1-každý deň, 2-niekedy, 0-nie)",-0.05207391927669672
"Pohlavie (1-žena, 0-muž)",0.026368630895529925
Koľkokrát do týždňa využívate bicykel na cestu do školy?,0.017089328871091315
"Najvyššie dosiahnuté vzdelanie otca (1 - základné, 2 - stredoškolské a 3 - vysokoškolské)",0.008833589097425546
Koľkokrát do týždňa využívate súkromnú dopravu na cestu do školy?,-0.00011694028386685324
